NAME,LIGHT_YEAR_FROM_EARTH,PLANET_MASS,STALLAR_MAGNITUDE,DISCOVERY_DATE
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
